Date,SPY
2024-01-02,461.2474670410156
2024-01-03,457.4805603027344
2024-01-04,456.0069580078125
2024-01-05,456.631591796875
2024-01-08,463.1504211425781
2024-01-09,462.4478454589844
2024-01-10,465.0631103515625
2024-01-11,464.85821533203125
2024-01-12,465.1802062988281
2024-01-16,463.47247314453125
2024-01-17,460.8961486816406
2024-01-18,464.99481201171875
2024-01-19,470.7915344238281
2024-01-22,471.7868957519531
2024-01-23,473.16290283203125
2024-01-24,473.68011474609375
2024-01-25,476.25640869140625
2024-01-26,475.6513977050781
2024-01-29,479.4182434082031
2024-01-30,479.0474548339844
2024-01-31,471.2306823730469
2024-02-01,477.3982238769531
2024-02-02,482.4239807128906
2024-02-05,480.6673889160156
2024-02-06,482.06292724609375
2024-02-07,486.08349609375
2024-02-08,486.2982177734375
2024-02-09,489.10870361328125
2024-02-12,488.8940124511719
2024-02-13,482.16046142578125
2024-02-14,486.5421447753906
2024-02-15,489.8991394042969
2024-02-16,487.4595031738281
2024-02-20,484.77581787109375
2024-02-21,485.2149658203125
2024-02-22,495.2567138671875
2024-02-23,495.5982971191406
2024-02-26,493.7831115722656
2024-02-27,494.7004699707031
2024-02-28,494.046630859375
2024-02-29,495.82269287109375
2024-03-01,500.4776611328125
2024-03-04,499.94091796875
2024-03-05,494.9444274902344
2024-03-06,497.4524230957031
2024-03-07,502.3903503417969
2024-03-08,499.37493896484375
2024-03-11,498.9455261230469
2024-03-12,504.3128662109375
2024-03-13,503.5223693847656
2024-03-14,502.5269775390625
2024-03-15,499.0763244628906
2024-03-18,502.04241943359375
2024-03-19,504.832275390625
2024-03-20,509.501708984375
2024-03-21,511.1854553222656
2024-03-22,510.2163391113281
2024-03-25,508.8066711425781
2024-03-26,507.866943359375
2024-03-27,512.1348266601562
2024-03-28,512.037109375
2024-04-01,511.1462707519531
2024-04-02,507.89630126953125
2024-04-03,508.4542541503906
2024-04-04,502.24798583984375
2024-04-05,507.4949645996094
2024-04-08,507.7787780761719
2024-04-09,508.3661193847656
2024-04-10,503.2758483886719
2024-04-11,507.07403564453125
2024-04-12,500.0748291015625
2024-04-15,493.8098449707031
2024-04-16,492.9092102050781
2024-04-17,489.9920349121094
2024-04-18,488.9837951660156
2024-04-19,484.7157897949219
2024-04-22,489.1795959472656
2024-04-23,494.9844665527344
2024-04-24,494.74957275390625
2024-04-25,492.87005615234375
2024-04-26,497.53948974609375
2024-04-29,499.3014831542969
2024-04-30,491.3919372558594
2024-05-01,489.79632568359375
2024-05-02,494.3775634765625
2024-05-03,500.50555419921875
2024-05-06,505.6741943359375
2024-05-07,506.2321472167969
2024-05-08,506.2810974121094
2024-05-09,509.1982116699219
2024-05-10,509.85418701171875
2024-05-13,509.922607421875
2024-05-14,512.2621459960938
2024-05-15,518.6055297851562
2024-05-16,517.53857421875
2024-05-17,518.282470703125
2024-05-20,518.879638671875
2024-05-21,520.1522827148438
2024-05-22,518.6546020507812
2024-05-23,514.8662109375
2024-05-24,518.2727661132812
2024-05-28,518.635009765625
2024-05-29,515.0031127929688
2024-05-30,511.586669921875
2024-05-31,516.246337890625
2024-06-03,516.6672973632812
2024-06-04,517.244873046875
2024-06-05,523.3923950195312
2024-06-06,523.382568359375
2024-06-07,522.7463989257812
2024-06-10,524.3614501953125
2024-06-11,525.6243286132812
2024-06-12,529.9413452148438
2024-06-13,531.00830078125
2024-06-14,531.3314208984375
2024-06-17,535.5601806640625
2024-06-18,536.9208374023438
2024-06-20,535.4622802734375
2024-06-21,534.744384765625
2024-06-24,533.0062255859375
2024-06-25,535.0587768554688
2024-06-26,535.7265014648438
2024-06-27,536.571044921875
2024-06-28,534.4595947265625
2024-07-01,535.5595703125
2024-07-02,539.1637573242188
2024-07-03,541.5698852539062
2024-07-05,544.6927490234375
2024-07-08,545.3212890625
2024-07-09,545.8515625
2024-07-10,551.2529907226562
2024-07-11,546.499755859375
2024-07-12,549.9468383789062
2024-07-15,551.459228515625
2024-07-16,554.7294311523438
2024-07-17,546.9514770507812
2024-07-18,542.748291015625
2024-07-19,539.1441040039062
2024-07-22,544.7026977539062
2024-07-23,543.8482055664062
2024-07-24,531.5233154296875
2024-07-25,528.7537841796875
2024-07-26,534.6757202148438
2024-07-29,534.9899291992188
2024-07-30,532.2794799804688
2024-07-31,540.9314575195312
2024-08-01,533.2714233398438
2024-08-02,523.3427124023438
2024-08-05,508.10107421875
2024-08-06,512.7855224609375
2024-08-07,509.3580627441406
2024-08-08,521.1329956054688
2024-08-09,523.4309692382812
2024-08-12,523.7060546875
2024-08-13,532.3187255859375
2024-08-14,533.9981079101562
2024-08-15,543.15087890625
2024-08-16,544.36865234375
2024-08-19,549.5736083984375
2024-08-20,548.679931640625
2024-08-21,550.5654907226562
2024-08-22,546.244384765625
2024-08-23,552.0484008789062
2024-08-26,550.732421875
2024-08-27,551.4886474609375
2024-08-28,548.287109375
2024-08-29,548.336181640625
2024-08-30,553.5706176757812
2024-09-03,542.1786499023438
2024-09-04,541.0689697265625
2024-09-05,539.7529296875
2024-09-06,530.6689453125
2024-09-09,536.6103515625
2024-09-10,538.94775390625
2024-09-11,544.4766845703125
2024-09-12,549.0630493164062
2024-09-13,551.9306030273438
2024-09-16,552.7456665039062
2024-09-17,552.9714965820312
2024-09-18,551.3316040039062
2024-09-19,560.7396850585938
2024-09-20,559.7703247070312
2024-09-23,561.169189453125
2024-09-24,562.77490234375
2024-09-25,561.5337524414062
2024-09-26,563.760009765625
2024-09-27,562.9422607421875
2024-09-30,565.1981201171875
2024-10-01,560.1348266601562
2024-10-02,560.3712768554688
2024-10-03,559.3468627929688
2024-10-04,564.4297485351562
2024-10-07,559.3271484375
2024-10-08,564.616943359375
2024-10-09,568.5277709960938
2024-10-10,567.5327758789062
2024-10-11,570.9313354492188
2024-10-14,575.6006469726562
2024-10-15,571.1283569335938
2024-10-16,573.6107788085938
2024-10-17,573.659912109375
2024-10-18,575.8666381835938
2024-10-21,574.9208984375
2024-10-22,574.6155395507812
2024-10-23,569.3650512695312
2024-10-24,570.596435546875
2024-10-25,570.3992919921875
2024-10-28,572.1627197265625
